city_code,city_name_en,city_name_hi,city_name_ar
CGQ,Changchun,चांगचुन,تشانغتشون
CGR,Campo Grande,कैंपो ग्रैंड,كامبو غراندي
CGY,Cagayan De Oro,कैगयान डी ऑरो,كاجايان دي اورو
CHA,Chattanooga,चैट्टानूगा ,تشاتانوغا
CHC,Christchurch,क्राइस्टचर्च,كرايستشيرش
CHG,Chaoyang,चाओयाँग,تشاويانغ
CHO,Charlottesville,शेर्लोट्सविल,شارلوتسفيل
CHQ,Chania,चानिया,خانيا
CHR,Chateauroux,शॅटोरवू,
CHS,Charleston,चार्ल्सटन,تشارلستون
CHX,Changuinola,चेंगिनोला,
CHY,Choiseul Bay,चोसियौल बे,
CID,Cedar Rapids,सीडर रॅपिड्ज़,سيدار رابيدز
CIF,Chifeng,चिफेंग,تشيفنغ
CIH,Changzhi,चँगझी,تشانغ تشى
CIJ,Cobija,कोबिजा,كوبيخا
CIT,Chimkent,चिम्केन्ट,شيمكنت
CIU,Sault Ste Marie,सॉल्ट एसटीई मरी,سولت سانت ماري
CIX,Chiclayo,चिक्लयो,تشيكلايو
CIY,Comiso,कमिसो,
CJA,Cajamarca,काजमारका,كاخاماركا
CJB,Coimbatore,कोयंबटूर,كويمباتور
CJC,Calama,कलामा,كالاما
CJJ,Chongju,चोंग्जु,تشونغجز
CJM,Chumphon,चमफन,
CJS,Ciudad Juarez,स्यूदाद जुआरेज़,سيوداد خواريز
CJU,Jeju,जेजु,جيجو
CKG,Chongqing,चॉंगक़िंग,تشونغتشينغ
CKH,Chokurdah,चोकुर्डाह,
CKS,Carajas,कराजस,كراخاس
CKY,Conakry,कोनाक्री,كوناكري
CKZ,Canakkale,कॅनक्कले,
CLJ,Cluj,क्लुज,كلوج
CLL,College Station,कॉलेज स्टेशन,كوليج ستيشن
CLO,Cali,कॅली,كالي
CLQ,Colima,कोलीमा,كوليما
CLT,Charlotte,शेर्लोट,شارلوت
CLV,Caldas Novas,कॉल्डस नोवस,
CLY,Calvi,काल्वी,كالفي
